Species,Tissue,CellType,Marker,Resource
Mouse,Blood vessel,Blood vessel endothelial cell,"Anpep, Cd34, Cd44, Cd93, Cxcr2, Eng, Flt1, Flt4, Icam1, Icam2, Ifngr1, Il3ra, Itga2, Kdr, Ly6c1, Lyve1, MHC class II, Pdpn, Pecam1, Plvap, Sele, Sell, Selp, Tlr2, Vcam1",Company
Mouse,Blood vessel,Epithelial cell,"Anpep, Cd1d1, Cd44, Ifngr1, Itga2, Tlr2",Company
Mouse,Blood vessel,Stem cell,Lgr5,26891025
Mouse,Nasal-associated lymphoid tissue,"CD4-positive, alpha-beta T cell","Cd27, Cd28, Cd69, Il6ra, Lef1, Nr4a1, Tcf7",32743568
Mouse,Nasal-associated lymphoid tissue,"CD8-positive, alpha-beta T cell",Cd8a,32743568
Mouse,Nasal-associated lymphoid tissue,Germinal center B cell,"Cd38, Cd69, Cd83, Cxcr4, Egr1, Egr3, Irf4, Zfp36",32743568
Mouse,Nasal-associated lymphoid tissue,Naive B cell,"Cd19, Ighm, Ms4a1",32743568
Mouse,Nasal-associated lymphoid tissue,"Naive thymus-derived CD4-positive, alpha-beta T cell","Cd4, Npm1",32743568
Mouse,Nasal-associated lymphoid tissue,Plasmablast,"Casp3, Sec61b, Tram1",32743568
Mouse,Nasal-associated lymphoid tissue,Transitional stage B cell,Cd38,32743568
Mouse,Bladder organ,Activated B cell,"Cd79a, Ctla4, Ms4a1, Mzb1",32366865
Mouse,Bladder organ,Alternatively activated macrophage,"Cd163, Csf1r, Cxcl2, F13a1, Folr2, Mrc1, Ms4a6b, Ms4a6c, Ms4a6d, Tgfbi",32460812
Mouse,Bladder organ,B cell,"Cd79a, Blnk, Cd19, Cd79b, Ms4a1, Mzb1","32366865, 31462402, 32460812"
Mouse,Bladder organ,Basal cell,"Krt5, Ccna2, Ccnb1, Hmmr, Itgb4, Krt13, Krt14, Krt17, Mcm2, Mcm3, Mcm4, Mcm7, Plk1, Shh, Trp63, Upk1a, Upk1b, Upk2, Upk3a, Upk3b, Upk3bl","30283141, 29474909, 31462402, 33538002"
Mouse,Bladder organ,Cancer-associated fibroblast,"Ccn2, Col14a1, Col1a1, Cxcl1, Cxcl12, Cxcl14, Cxcl2, Cxcl3, Cxcl5, Fap, Itga8, Mmp2, Mmp3, Mmp9, Pdgfd, Pdgfra, Pdgfrl, Pdpn, Sfrp1, Sfrp2, Sfrp4, Tgfb3, Thy1, Twist2, Wnt2, Wnt5a",32460812
Mouse,Bladder organ,Cancer-associated myofibroblast,"Acta2, Actg2, Myh10, Myh9, Myl12a, Myl6, Myl6b, Myl9, Mylk, Tagln",32460812
Mouse,Bladder organ,"CD4-positive, alpha-beta T cell","Cd3d, Cd3e, Cd3g, Cd4",32366865
Mouse,Bladder organ,"CD8-positive, alpha-beta cytotoxic T cell","Gzma, Gzmb, Ifng, Nkg7",32460812
Mouse,Bladder organ,"CD8-positive, alpha-beta T cell","Cd3d, Cd3e, Cd3g, Cd8b1, Gzmk",32366865
Mouse,Bladder organ,Dendritic cell,"Cd209a, Mgl2, Sirpa","32366865, 29474909, 31462402"
Mouse,Bladder organ,Endodermal cell,"Cxcr4, Foxa2, Kit",31273737
Mouse,Bladder organ,Endothelial cell,"Pecam1, Cdh5, Sele, Vcam1","30283141, 29474909, 31462402, 31288631, 25689100"
Mouse,Bladder organ,Epithelial cell,"Epcam, Krt19, Cdh1, Krt18, Krt8","30283141, 29474909, 31462402, 32460812"
Mouse,Bladder organ,Exhausted T cell,"Btla, Cblb, Ctla4, Havcr2, Icos, Lag3, Pdcd1, Prdm1",32460812
Mouse,Bladder organ,Fibroblast,"Col1a2, Col3a1, Dcn, Col1a1, Col6a1, Ddr2, Fap, Pdgfra, Pdpn, S100a4, Timp2","31462402, 32460812, 31288631"
Mouse,Bladder organ,Gamma-delta T cell,"Tcrd, Tcrg",32366865
Mouse,Bladder organ,Inflammatory macrophage,"Ccl2, Ccl3, Ccl4, Ccr7, Cd14, Cd80, Cxcl10, Cxcl9, Egr1, Ier3, Irf5, Nfe2l2, Nfkbid, Nfkbiz, Nlrp3, Nos2, Nr4a1, Phlda1, Tlr2, Tnf, Zfp36",32460812
Mouse,Bladder organ,Intermediate cell,"Upk1a, Upk1b, Upk3b, Upk2, Upk3a, Upk3bl, Krt13, Krt20, Krt5","31462402, 33538002"
Mouse,Bladder organ,Leydig cell,Vim,31462402
Mouse,Bladder organ,Macrophage,"Adgre1, Cd14, Cd163, Cd68, Cd86, Csf1r, Fcgr4, Lyz1, Lyz2, Ms4a7","32366865, 29474909, 32460812"
Mouse,Bladder organ,Mesenchymal cell,"Car3, Dcn, Scara5","30283141, 29474909"
Mouse,Bladder organ,Migratory dendritic cell,"Cacnb3, Flt3, Fscn1, Nudt17",32366865
Mouse,Bladder organ,Monocyte,"Cd14, Ly6c2, Lyz1, Ms4a7","32366865, 31462402"
Mouse,Bladder organ,Myofibroblast cell,Acta2,31462402
Mouse,Bladder organ,Naive B cell,"Cd79a, Ighd, Ms4a1",32366865
Mouse,Bladder organ,Natural killer cell,"Ncr1, Xcl1, Cd9, Fcer1g, Gzma, Gzmb","32366865, 29474909, 32460812"
Mouse,Bladder organ,Neuron,Gpm6a,31462402
Mouse,Bladder organ,Pericyte,"Cox4i2, Mef2c, Pcp4l1",35722109
Mouse,Bladder organ,Peritoneal macrophage,Adgre1,32366865
Mouse,Bladder organ,Plasma cell,Jchain,32366865
Mouse,Bladder organ,Plasmacytoid dendritic cell,"Cox6a2, Flt3, Irf8, Pacsin1, Siglech",32366865
Mouse,Bladder organ,Regulatory T cell,"Foxp3, Il2ra",32460812
